P,H,HS,T,RH,CC
0.4632,8,7.42,-16.7,54,0
9.859,9,16.12,-14.8,51,0
13.7268,10,23,-11.1,46,0
15.592,11,27.44,-6.1,41,0
15.9232,12,28.88,-2.6,37,0
14.7134,13,27.11,-1.1,38,7
10.9376,14,22.4,-0.5,40,28
6.1004,15,15.31,-0.4,37,29
1.2484,16,6.46,-1.7,47,30
0,17,-3.62,-3.3,46,32
0,18,0,-5.2,48,39
0,19,0,-7.3,50,60
0,20,0,-9.1,50,11
0,21,0,-10.6,50,2
0,22,0,-11.7,49,0
0,23,0,-12.3,48,0
0,0,0,-12.6,48,0
0,1,0,-13,48,0
0,2,0,-13.3,49,0
0,3,0,-13.2,49,0
0,4,0,-12.7,49,0
0,5,0,-12.3,50,0
0,6,0,-12.1,52,0
0,7,-2.55,-12.1,53,0
0.4266,8,7.42,-12.1,55,0
9.123,9,16.13,-9.4,50,0
12.47,10,23.04,-5.6,47,2
14.3708,11,27.5,-2.6,52,0
14.7188,12,28.96,1.7,47,0
13.8542,13,27.22,3.1,49,1
11.8182,14,22.52,3.2,53,11
8.084,15,15.44,4.2,40,17
3.2092,16,6.59,5.1,28,27
0,17,-3.48,1.6,50,28
0,18,0,-0.4,45,30
0,19,0,-3.2,52,30
0,20,0,-4.8,58,46
0,21,0,-5.6,61,55
0,22,0,-6.6,64,14
0,23,0,-7.7,66,44
0,0,0,-7.8,66,36
0,1,0,-7.5,66,7
0,2,0,-7.6,66,0
0,3,0,-9,69,0
0,4,0,-9.3,68,0
0,5,0,-9.8,68,0
0,6,0,-10.4,68,0
0,7,-2.57,-10.8,69,0
0.4146,8,7.41,-11.1,68,2
8.8724,9,16.15,-5.4,53,0
12.131,10,23.08,-0.7,39,0
13.8774,11,27.57,1.1,32,6
14.4582,12,29.06,1.6,53,8
13.964,13,27.34,2,49,2
11.9946,14,22.65,2.1,46,9
8.5682,15,15.57,2.3,40,17
3.692,16,6.73,1.1,50,8
0,17,-3.35,0.9,28,13
0,18,0,-1.9,33,22
0,19,0,-4.4,37,4
0,20,0,-6.4,39,0
0,21,0,-6.9,38,0
0,22,0,-7.1,38,0
0,23,0,-7.3,38,0
0,0,0,-7.6,39,0
0,1,0,-7.8,39,0
0,2,0,-8.3,40,0
0,3,0,-7.9,40,0
0,4,0,-7.9,40,0
0,5,0,-8.4,41,0
0,6,0,-8.8,42,0
0,7,-2.59,-9.1,42,1
0.4156,8,7.42,-9.5,43,2
9.0322,9,16.17,-8.1,43,2
12.4916,10,23.13,-5.8,37,0
14.7278,11,27.64,-6.2,58,0
15.2568,12,29.16,-2.6,41,0
14.561,13,27.46,-2.1,42,0
12.4072,14,22.79,-1.8,43,0
8.7852,15,15.71,-2,44,0
3.8752,16,6.87,-2.8,46,0
0,17,-3.2,-5,56,0
0,18,0,-6.8,46,0
0,19,0,-5.4,31,11
