P,H,HS,T,RH,CC
0,1,0,-6.9,82,0
0,2,0,-7,79,0
0,3,0,-6.9,75,0
0,4,0,-7.1,74,0
0,5,0,-7,71,0
0,6,0,-6.8,69,0
0.04972875,7,-2.48,-6.6,67,13
1.2112525,8,7.74,-6.4,65,34
3.71545475,9,16.7,-3.7,54,43
7.324348,10,23.89,0.8,41,28
9.53017725,11,28.65,4.5,30,1
9.95642475,12,30.4,6.8,25,0
9.2140435,13,28.86,8.3,22,0
7.4344615,14,24.27,9.1,21,0
4.1026295,15,17.21,8.7,22,0
0.8560465,16,8.35,7.8,26,0
0,17,-1.76,5.4,33,0
0,18,0,1.3,44,0
0,19,0,-2.2,53,0
0,20,0,-3.6,55,0
0,21,0,-3.9,52,0
0,22,0,-4.1,51,0
0,23,0,-4.4,49,0
0,0,0,-4.6,48,0
0,1,0,-4.7,46,0
0,2,0,-4.8,45,0
0,3,0,-4.7,44,0
0,4,0,-4.7,43,0
0,5,0,-5,43,0
0,6,0,-5.2,44,0
0.11011375,7,-2.44,-5.4,44,0
2.905585,8,7.81,-5.6,44,0
7.29593125,9,16.79,-3.2,40,0
9.80723875,10,24,1.2,33,0
10.37912,11,28.8,4.6,25,0
10.528305,12,30.57,6.3,21,0
10.1730975,13,29.05,7.1,20,0
8.81621325,14,24.46,7.5,20,0
5.154039,15,17.41,7.2,22,0
1.420824,16,8.54,5.7,29,0
0,17,-1.58,3.3,35,0
0,18,0,0.8,42,0
0,19,0,-0.4,46,29
0,20,0,-1.8,50,31
0,21,0,-2.5,53,36
0,22,0,-2.9,54,40
0,23,0,-2.7,52,58
0,0,0,-2.6,51,73
0,1,0,-2.3,50,81
0,2,0,-2.9,52,83
0,3,0,-3.5,53,67
0,4,0,-4.6,56,39
0,5,0,-5.2,57,31
0,6,0,-5.8,58,33
0.04972875,7,-2.39,-6.5,59,11
1.6730205,8,7.88,-7.2,60,0
5.36361075,9,16.88,-4.7,54,0
8.97960775,10,24.13,0.7,39,0
10.01325775,11,28.96,3.6,31,0
9.853415,12,30.75,5.3,29,1
9.4271675,13,29.24,6.6,28,13
5.18600775,14,24.66,7.3,28,27
2.9233455,15,17.6,7.6,27,29
1.29294975,16,8.73,6.4,35,30
0,17,-1.4,4.5,43,29
0,18,0,3,47,27
0,19,0,-1.4,61,25
0,20,0,-2.7,62,25
0,21,0,-2.9,56,21
0,22,0,-2.9,47,14
0,23,0,-3.3,42,14
0,0,0,-3.9,38,14
0,1,0,-4.8,35,17
0,2,0,-5.8,32,19
0,3,0,-5.5,28,7
0,4,0,-5.2,24,1
0,5,0,-6,24,0
0,6,0,-6.6,24,0
0.184707,7,-2.33,-7.1,25,15
3.53429975,8,7.96,-7.4,25,13
7.91754175,9,16.99,-6.8,25,11
9.95642375,10,24.26,-5.4,21,1
10.7982625,11,29.12,-4.3,20,1
10.9296875,12,30.94,-3.4,19,1
10.55317,13,29.44,-2.5,18,12
9.42716625,14,24.86,-2,18,0
6.6494565,15,17.8,-1.6,18,0
1.5700105,16,8.92,-1.8,18,23
0,17,-1.22,-3,22,29
0,18,0,-4.5,23,33
0,19,0,-5.4,24,29
0,20,0,-5.9,24,32
0,21,0,-6,24,51
0,22,0,-5.8,24,60
0,23,0,-5.8,24,70
0,0,0,-5.9,24,79
0,1,0,-5.9,24,86
0,2,0,-5.9,23,88
0,3,0,-6,22,84
0,4,0,-6.9,22,33
0,5,0,-7.8,23,3
0,6,0,-8.5,23,0
0.16694675,7,-2.28,-8.9,22,0
3.46681075,8,8.04,-9,21,0
8.04186425,9,17.1,-6.9,22,0
10.11626575,10,24.4,-3.2,17,0
10.7627425,11,29.29,-0.5,13,0
10.904825,12,31.13,1.4,11,0
10.5212025,13,29.65,2.6,10,0
9.40940725,14,25.07,3.4,10,0
6.141512,15,18,3.8,9,0
1.768926,16,9.11,3.4,11,0
0.04972875,17,-1.03,2,16,0
0,18,0,-1.2,20,2
0,19,0,-4.4,24,4
0,20,0,-5.9,26,9
0,21,0,-6.1,23,24
0,22,0,-6.2,20,37
0,23,0,-6.1,18,35
0,0,0,-6,17,25
0,1,0,-5.9,16,8
0,2,0,-5.9,15,0
0,3,0,-5.7,14,0
0,4,0,-5.7,13,0
0,5,0,-5.9,13,0
0,6,0,-6.1,12,0
0.1491865,7,-2.21,-6.3,12,0
3.381561,8,8.14,-6.4,12,0
7.99213525,9,17.21,-4.3,14,0
10.03457075,10,24.55,-0.7,13,0
10.681045,11,29.46,2.4,11,0
10.8231275,12,31.33,4.5,9,0
10.489235,13,29.86,5.8,9,0
9.34547025,14,25.29,6.6,8,0
6.21965725,15,18.21,7.1,9,0
2.1418925,16,9.31,6.4,13,0
0.04617675,17,-0.84,4.1,19,0
0,18,0,1,23,0
0,19,0,-2.1,28,13
0,20,0,-4.3,32,29
0,21,0,-4.8,33,28
0,22,0,-5.1,31,23
0,23,0,-5.3,29,3
0,0,0,-5.7,28,1
0,1,0,-5.9,28,13
0,2,0,-5.9,27,30
0,3,0,-5.5,26,30
0,4,0,-5.3,26,30
0,5,0,-5.3,26,30
0,6,0,-5,25,29
0.07104125,7,-2.14,-5,26,30
2.408297,8,8.23,-5.2,27,29
4.77396875,9,17.34,-3,28,29
4.45428325,10,24.7,1.3,24,29
4.418763,11,29.64,4,18,29
7.46643,12,31.54,5.3,16,28
7.3030355,13,30.08,5.6,16,28
5.11851875,14,25.51,5.6,17,25
5.8928675,15,18.42,5,17,10
0.96616025,16,9.51,4.1,20,2
0,17,-0.65,2.4,25,0
0,18,0,0.3,29,0
0,19,0,0.4,29,0
0,20,0,-0.2,30,0
0,21,0,-2.6,35,0
0,22,0,-3.7,38,1
0,23,0,-4.5,40,8
0,0,0,-4.9,41,34
0,1,0,-4.4,40,62
0,2,0,-3.8,38,78
0,3,0,-3,37,79
0,4,0,-2.9,37,84
0,5,0,-2.7,37,83
0,6,0,-2.2,36,71
0,7,-2.06,-0.5,30,50
0.8063175,8,8.34,-1.5,33,47
4.15591025,9,17.47,-0.5,34,35
6.57486325,10,24.86,0.8,25,32
5.612255,11,29.83,1.8,22,23
5.3529545,12,31.75,2.6,21,33
4.5679495,13,30.31,3,21,44
4.59636575,14,25.73,3.2,22,66
2.77415875,15,18.64,2.9,22,68
1.129555,16,9.72,2.5,24,58
0,17,-0.46,1.3,30,51
0,18,0,-0.2,33,46
0,19,0,-1.1,35,52
0,20,0,-0.7,35,51
0,21,0,-2.1,39,37
0,22,0,-3.7,44,29
0,23,0,-4.3,47,38
0,0,0,-4.9,50,41
0,1,0,-5.2,51,39
0,2,0,-5.5,52,38
0,3,0,-5.3,53,40
0,4,0,-5.3,54,32
0,5,0,-5.3,55,23
0,6,0,-4,46,17
0,7,-1.98,-1.5,35,1
1.88969625,8,8.44,-1.8,35,0
5.32809,9,17.6,-1.1,35,0
7.7221785,10,25.02,0.7,26,0
8.36865375,11,30.03,2,24,0
8.62440175,12,31.97,3,23,0
8.354445,13,30.53,3.8,21,0
7.44156625,14,25.96,4.3,20,0
5.2890175,15,18.86,4.7,16,0
1.66946825,16,9.93,4.4,16,0
0,17,-0.26,2.9,20,0
0,18,0,0.4,22,0
0,19,0,-1.7,24,0
0,20,0,-2.7,24,0
0,21,0,-3,22,0
0,22,0,-3.1,21,0
0,23,0,-3,19,0
0,0,0,-2.9,19,0
0,1,0,-2.8,18,0
0,2,0,-2.6,18,0
0,3,0,-2.5,19,0
0,4,0,-2.4,18,0
0,5,0,-2.5,18,0
0,6,0,-2.7,18,0
0.113666,7,-1.89,-3,18,0
2.610764,8,8.56,-3.1,18,0
8.1803945,9,17.74,-1.6,18,0
10.62776375,10,25.19,1,16,0
11.6507575,11,30.23,3.3,14,0
11.84257,12,32.19,5.1,13,0
12.9614675,13,30.77,6.3,12,0
10.46792225,14,26.19,7,12,0
6.86968425,15,19.08,7.3,12,0
2.5752435,16,10.14,6.8,15,0
0.08169725,17,-0.06,5.1,18,0
0,18,0,2.4,19,0
0,19,0,0.7,20,0
0,20,0,-0.1,20,0
0,21,0,-0.7,21,0
0,22,0,-1.3,22,0
0,23,0,-1.5,22,0
0,0,0,-1.7,22,0
0,1,0,-1.7,22,0
0,2,0,-1.7,22,0
0,3,0,-1.2,22,0
0,4,0,-1.1,23,0
0,5,0,-1.1,24,0
0,6,0,-1.1,24,0
0.19536325,7,-1.8,-1.2,25,0
3.56271625,8,8.68,-1.1,25,0
8.33313275,9,17.89,1.1,25,0
11.7217975,10,25.37,4.5,21,0
13.22432,11,30.44,7.3,18,0
12.6737525,12,32.42,9.3,16,0
12.1373925,13,31.01,10.5,15,0
10.02036075,14,26.43,11.2,14,0
6.731154,15,19.31,11.7,14,0
2.53261875,16,10.35,11.2,17,0
0.0923535,17,0.14,9.3,22,0
0,18,0,4.8,29,0
0,19,0,1.6,33,0
0,20,0,-0.1,35,0
0,21,0,-1.3,37,0
0,22,0,-2.2,39,0
0,23,0,-2.8,40,0
0,0,0,-3.2,41,0
0,1,0,-3.5,41,0
0,2,0,-3.6,41,0
0,3,0,-3.4,39,0
0,4,0,-3.5,39,0
0,5,0,-3.6,40,0
0,6,0,-3.8,39,0
0.170499,7,-1.7,-3.9,39,0
3.27144725,8,8.81,-4,40,0
7.41314925,9,18.04,-1.2,38,0
10.33649525,10,25.56,4.1,31,0
12.091215,11,30.65,7,21,0
13.163935,12,32.66,7.9,20,0
12.1373875,13,31.26,8.5,21,0
9.43071975,14,26.67,8.6,22,0
5.87155525,15,19.54,8.4,23,0
1.893248,16,10.57,7.7,25,0
0.056833,17,0.34,6.2,33,0
0,18,0,3.9,39,0
0,19,0,4,36,0
0,20,0,2.1,41,0
0,21,0,-0.9,50,0
0,22,0,-2.6,57,0
0,23,0,-3.8,64,0
0,0,0,-4.4,68,0
0,1,0,-4.9,72,0
0,2,0,-5.1,74,0
0,3,0,-5.3,76,0
0,4,0,-5.5,78,0
0,5,0,-5.6,78,0
0,6,0,-5.7,78,0
0.07104125,7,-1.59,-5.7,77,0
2.12768425,8,8.94,-5.5,75,0
5.86089875,9,18.2,-1,59,0
9.06485775,10,25.75,2.4,40,0
11.0149375,11,30.87,4.3,37,0
11.643655,12,32.9,5.6,35,8
9.675813,13,31.51,6.4,35,26
3.8291205,14,26.92,6.8,35,30
1.69078075,15,19.77,6.3,36,30
0.6962035,16,10.79,5,41,30
0,17,0.55,3.4,48,28
0,18,0,1.8,54,27
0,19,0,0,62,33
0,20,0,-0.9,66,55
0,21,0,-1.2,68,25
0,22,0,-1.8,71,38
0,23,0,-2,72,49
0,0,0,-2.1,74,54
0,1,0,-1.8,72,51
0,2,0,-1.7,72,61
0,3,0,-1.1,66,66
0,4,0,-0.7,65,62
0,5,0,-1,67,39
0,6,0,-1.9,72,18
0.0888015,7,-1.48,-2.8,76,13
2.02467425,8,9.08,-3.2,78,15
5.5873905,9,18.37,-1.9,74,6
8.43614275,10,25.94,0.4,48,3
10.4963385,11,31.1,1.4,38,5
11.39501,12,33.15,2.3,34,12
10.49988925,13,31.76,3,33,6
8.322477,14,27.17,3.6,33,0
5.20732025,15,20.01,4.2,32,0
1.9287685,16,11.01,4,32,0
0.07459325,17,0.75,2.6,37,0
0,18,0,0.6,43,0
0,19,0,-1.3,49,0
0,20,0,-1.3,48,0
0,21,0,-1.2,47,0
0,22,0,-1.5,48,0
0,23,0,-3,55,0
0,0,0,-4.2,62,0
0,1,0,-4.5,65,0
0,2,0,-4.8,68,10
0,3,0,-5.7,73,18
0,4,0,-6,74,46
0,5,0,-6,74,38
0,6,0,-5.7,72,32
0.10656175,7,-1.36,-5.2,68,12
2.67825375,8,9.22,-4.4,63,3
5.18600775,9,18.54,-2.6,59,0
9.39875175,10,26.15,0.5,43,0
11.284895,11,31.33,2.4,36,0
11.37725,12,33.4,3.7,31,0
9.65094725,13,32.02,4.7,27,0
7.1183285,14,27.42,5.3,25,0
4.063557,15,20.25,5.1,23,0
1.16507575,16,11.23,4.3,21,0
0.053281,17,0.96,2.3,24,0
0,18,0,0.1,26,0
0,19,0,-0.8,28,0
0,20,0,-1.9,31,0
0,21,0,-3.4,35,0
0,22,0,-4.7,40,0
0,23,0,-5,42,0
0,0,0,-5.2,44,0
0,1,0,-5.1,47,0
0,2,0,-4.9,49,12
0,3,0,-5.1,54,35
0,4,0,-4.5,56,31
0,5,0,-4.4,59,31
