P,H,HS,T,RH,CC
0,6,0,-4.2,61,41
0,7,-1.24,-3,59,61
0.7352765,8,9.38,-2,57,31
2.18806875,9,18.72,0.3,53,33
4.59636575,10,26.35,3.2,46,25
7.57299225,11,31.57,6.6,39,53
4.31220075,12,33.66,8.6,33,83
2.8665125,13,32.29,9.6,28,80
4.25892,14,27.68,9.6,25,50
4.084869,15,20.49,8.8,27,26
2.3230475,16,11.45,8.3,28,0
0.11011375,17,1.17,6.8,32,2
0,18,0,3,36,1
0,19,0,-0.1,39,15
0,20,0,-1.3,38,27
0,21,0,-1.8,36,29
0,22,0,-2.2,34,29
0,23,0,-2.6,33,28
0,0,0,-3.3,32,25
0,1,0,-4,33,6
0,2,0,-4.5,33,28
0,3,0,-4.5,32,30
0,4,0,-4.5,31,30
0,5,0,-4.5,31,28
0,6,0,-4.8,32,27
0.07459325,7,-1.11,-5.3,34,23
1.13310725,8,9.53,-5.4,35,24
4.2873365,9,18.9,-2,34,25
8.69899525,10,26.57,1.7,28,12
10.04522675,11,31.81,3.5,26,7
11.501569,12,33.93,4.7,25,2
11.15702,13,32.56,5.6,24,7
8.258539,14,27.94,6.1,23,23
4.80238525,15,20.74,6.1,22,27
2.18451675,16,11.68,5.3,24,27
0.11011375,17,1.38,3,30,29
0,18,0,0.8,35,29
0,19,0,-0.8,39,30
0,20,0,-2,43,29
0,21,0,-2.8,47,30
0,22,0,-3.2,48,32
0,23,0,-3.3,47,35
0,0,0,-3.4,47,40
0,1,0,-3.6,46,66
0,2,0,-3.7,45,86
0,3,0,-3.9,44,75
0,4,0,-4.1,43,47
0,5,0,-4.5,41,43
0,6,0,-4.5,38,41
0.0888015,7,-0.97,-4.4,35,47
1.250325,8,9.69,-3.8,32,38
2.781263,9,19.09,-1,29,31
4.72068825,10,26.79,2.7,24,30
6.1273035,11,32.06,5.5,21,30
7.0046625,12,34.2,7.6,19,31
7.40959775,13,32.84,9,18,31
5.55542175,14,28.21,9.4,18,38
4.4542835,15,20.98,8.4,20,41
1.786686,16,11.91,7.4,26,50
0.0852495,17,1.6,5.9,32,62
0,18,0,3.8,37,66
0,19,0,1.4,44,69
0,20,0,-1.3,50,60
0,21,0,-3,53,61
0,22,0,-3.7,52,56
0,23,0,-3.7,48,53
0,0,0,-3.2,43,34
0,1,0,-2.9,41,32
0,2,0,-2.6,39,50
0,3,0,-3.5,44,39
0,4,0,-3.7,46,39
0,5,0,-3.5,47,56
0,6,0,-3.1,45,77
0,7,-0.83,-1.4,39,86
0.66778725,8,9.86,-1.2,40,87
2.87716875,9,19.29,-0.2,42,83
5.5234535,10,27.01,2.5,39,87
7.033079,11,32.32,3.5,35,78
3.893058,12,34.48,3.8,31,44
4.653199,13,33.11,4,29,61
2.83099225,14,28.48,3.9,28,70
1.9891535,15,21.23,3.9,25,71
0.61805825,16,12.14,3.4,26,76
0,17,1.81,2.2,31,83
0,18,0,1,33,87
0,19,0,0.2,33,85
0,20,0,-0.5,33,79
0,21,0,-1.1,33,73
0,22,0,-1.7,34,83
0,23,0,-1.2,31,87
0,0,0,-1.2,30,84
0,1,0,-2,33,78
0,2,0,-2.9,33,68
0,3,0,-3.9,37,39
0,4,0,-4.6,39,35
0,5,0,-5.3,39,54
0,6,0,-5.4,38,84
0.07459325,7,-0.69,-5.3,35,88
1.072722,8,10.03,-4.7,33,74
3.02635525,9,19.49,-3.8,27,54
3.24303075,10,27.25,-2.7,25,70
4.93736375,11,32.58,-1.4,26,74
6.24096975,12,34.76,-0.2,27,76
8.64571375,13,33.4,1,29,78
7.9566145,14,28.75,2,29,64
5.367163,15,21.49,3.3,22,48
2.22358975,16,12.37,3.1,20,5
0.113666,17,2.02,1.8,23,0
0,18,0,-0.5,28,0
0,19,0,-2.8,31,0
0,20,0,-2.8,29,0
0,21,0,-2.3,25,0
0,22,0,-1.9,23,0
0,23,0,-1.8,23,0
0,0,0,-1.8,24,0
0,1,0,-1.9,25,0
0,2,0,-1.9,25,0
0,3,0,-2.5,26,0
0,4,0,-2.6,27,0
0,5,0,-2.8,27,0
0,6,0,-2.9,27,0
0.348102,7,-0.54,-3,26,0
3.9818595,8,10.21,-2.9,26,0
8.78779775,9,19.69,-0.9,24,0
12.286575,10,27.48,1.9,19,0
14.2650725,11,32.85,4.4,15,0
14.9008925,12,35.04,6.5,13,0
14.0377425,13,33.69,8.1,11,0
11.9171625,14,29.02,9.2,10,0
8.31537275,15,21.74,9.4,11,0
3.70124675,16,12.61,8.9,14,0
0.3232375,17,2.24,6.9,19,0
0,18,0,3.6,25,0
0,19,0,1.1,30,0
0,20,0,-1.6,37,0
0,21,0,-3.5,41,0
0,22,0,-4.2,40,0
0,23,0,-4.6,39,0
0,0,0,-5.1,40,8
0,1,0,-5.4,40,3
0,2,0,-5.5,39,27
0,3,0,-5.6,40,51
0,4,0,-5.3,40,31
0,5,0,-4.7,38,23
0,6,0,-4.6,39,29
0.22733175,7,-0.38,-5,41,24
2.51485875,8,10.39,-5,43,24
4.123942,9,19.9,-1.6,40,0
9.8534145,10,27.73,1.9,34,0
11.320415,11,33.12,4.5,29,0
11.9136075,12,35.33,6.1,28,2
10.4146395,13,33.98,7.1,28,1
4.617678,14,29.3,7.5,28,29
1.594875,15,22,6,33,30
0.5043925,16,12.84,4.5,40,30
0,17,2.46,2.4,50,30
0,18,0,0.7,57,31
0,19,0,-0.2,62,31
0,20,0,-0.8,67,30
0,21,0,-1.7,70,30
0,22,0,-2,71,30
0,23,0,-2.1,70,29
0,0,0,-1.8,64,18
0,1,0,-1.9,57,0
0,2,0,-1.4,45,31
0,3,0,-2.3,39,76
0,4,0,-1.3,30,77
0,5,0,-0.3,25,82
0,6,0,0.3,22,81
0,7,-0.22,0.7,20,80
0.79210925,8,10.58,1,20,76
2.08505925,9,20.12,2.9,19,55
4.908947,10,27.97,5,17,45
11.27068525,11,33.4,6.4,14,12
14.0910225,12,35.63,7.4,13,0
13.0360625,13,34.28,8.2,12,0
10.38267225,14,29.58,8.2,12,0
6.319115,15,22.26,7.9,14,0
2.36211975,16,13.08,7.5,15,0
0.20246725,17,2.68,5.9,19,0
0,18,0,3.5,21,0
0,19,0,1.3,25,0
0,20,0,-0.5,29,0
0,21,0,-1.8,32,0
0,22,0,-2.6,35,0
0,23,0,-3.1,36,0
0,0,0,-3.5,37,0
0,1,0,-3.8,38,0
0,2,0,-4.1,38,0
0,3,0,-4.4,42,1
0,4,0,-4.5,42,1
0,5,0,-4.6,43,1
0,6,0,-4.8,44,0
0.1491865,7,-0.05,-4.5,43,0
1.81155075,8,10.78,-3.8,42,0
6.3013545,9,20.34,-1.5,41,2
11.3168625,10,28.23,2.3,31,0
13.0183,11,33.68,4.8,28,0
13.5582125,12,35.93,7,26,0
12.6240225,13,34.58,8.9,25,0
10.27255725,14,29.87,10.3,23,0
6.795091,15,22.52,11.2,21,0
2.6356285,16,13.32,10.8,25,0
0.2095715,17,2.89,8.4,36,0
0,18,0,5.4,44,0
0,19,0,2.2,53,0
0,20,0,-0.3,59,0
0,21,0,-2.6,63,0
0,22,0,-3.5,63,0
0,23,0,-3.7,59,0
0,0,0,-3.7,56,0
0,1,0,-3.8,55,0
0,2,0,-3.9,56,0
0,3,0,-3.2,55,0
0,4,0,-2.7,53,0
0,5,0,-2.6,52,0
0,6,0,-2.4,51,0
0.2024675,7,0.12,-2.4,50,0
2.52196275,8,10.98,-2.3,51,0
5.49858925,9,20.57,-1.4,49,5
8.59243225,10,28.48,1.1,40,9
11.71114,11,33.97,2.7,38,5
10.74498175,12,36.23,4.1,36,6
8.91567075,13,34.88,5,35,28
5.23218475,14,30.15,5.2,37,27
4.60347,15,22.78,5.3,39,16
2.01757025,16,13.56,4.7,42,3
0.124322,17,3.11,3.4,48,4
0,18,0,1.4,54,0
0,19,0,-0.5,62,0
0,20,0,-2.3,70,0
0,21,0,-3.4,77,0
0,22,0,-4.2,82,0
0,23,0,-4.7,84,0
0,0,0,-4.9,85,0
0,1,0,-4.6,83,4
0,2,0,-2.3,71,16
0,3,0,-5.6,90,88
0,4,0,-4.8,94,100
0,5,0,-4.7,94,100
0,6,0,-4.7,92,100
0,7,0.3,-4.6,89,100
0,8,11.18,-4.6,88,100
0.24509225,9,20.8,-4.2,84,100
0.4937365,10,28.75,-3.7,81,100
0.777901,11,34.26,-3.3,79,100
0.72462,12,36.54,-3.2,78,100
0.96971225,13,35.19,-3,77,100
0.728172,14,30.44,-2,71,100
0.543465,15,23.05,-2.6,71,71
0.09590575,16,13.8,-2.9,71,59
0,17,3.33,-3.6,73,42
0,18,0,-4.4,76,31
0,19,0,-4.8,76,28
0,20,0,-5.1,76,48
0,21,0,-5.5,75,52
0,22,0,-5.7,72,49
0,23,0,-6,70,57
0,0,0,-6.6,71,68
0,1,0,-6.5,69,77
0,2,0,-6.5,70,100
0,3,0,-6.5,68,100
0,4,0,-6.8,70,94
0,5,0,-7.2,73,79
0,6,0,-7.6,74,80
0,7,0.48,-8,70,72
0.3090295,8,11.39,-8.2,55,74
0.646475,9,21.04,-8.1,38,67
1.8470715,10,29.02,-7.4,28,71
4.20208725,11,34.56,-6.5,22,56
5.136279,12,36.86,-5.4,19,38
7.210682,13,35.5,-4.5,19,26
7.08991225,14,30.74,-4,18,55
1.97494525,15,23.31,-3.8,21,65
1.00168125,16,14.04,-4.2,20,79
0.056833,17,3.55,-4.7,20,81
0,18,0,-5.5,20,83
0,19,0,-6,21,82
0,20,0,-6.1,20,80
0,21,0,-6.3,20,84
0,22,0,-6.2,20,74
0,23,0,-6.2,21,30
0,0,0,-6.4,23,59
0,1,0,-6.6,24,31
0,2,0,-6.8,26,35
0,3,0,-8,21,22
0,4,0,-8.2,21,34
0,5,0,-8.4,21,29
0,6,0,-8.5,22,52
0.10656175,7,0.67,-8.7,22,35
1.12245125,8,11.61,-8.6,23,31
2.90558525,9,21.28,-7.5,22,35
5.036821,10,29.29,-6.2,21,40
7.48419075,11,34.86,-4.9,20,48
6.19834475,12,37.18,-3.5,19,70
7.636929,13,35.81,-2.3,19,76
5.32453775,14,31.03,-1.5,19,58
2.78836725,15,23.58,-1.5,22,31
1.18638825,16,14.28,-1.8,22,29
0.10656175,17,3.78,-2.9,22,29
0,18,0,-4.5,25,22
0,19,0,-5.6,26,8
0,20,0,-6.5,28,2
0,21,0,-7.3,29,6
0,22,0,-7.6,32,17
0,23,0,-7.3,32,11
0,0,0,-6.8,32,1
0,1,0,-6.9,32,0
0,2,0,-7.1,33,0
0,3,0,-7.9,35,0
0,4,0,-9.1,39,0
0,5,0,-9.2,39,0
0,6,0,-9.3,39,39
0.28416475,7,0.86,-9.2,38,62
1.484761,8,11.83,-8.7,36,64
5.91418,9,21.53,-6,29,56
6.5855195,10,29.57,-4.8,23,61
3.6941425,11,35.17,-4.3,21,82
2.8523045,12,37.5,-3.7,20,90
4.791729,13,36.13,-3.7,20,83
3.22527075,14,31.33,-3.2,20,85
1.5771145,15,23.85,-3.1,20,84
0.96260825,16,14.52,-3.6,20,77
0.053281,17,4,-4.1,20,78
0,18,0,-4.8,21,80
0,19,0,-5.3,21,44
0,20,0,-5.7,22,30
0,21,0,-5.9,22,30
0,22,0,-6.3,23,33
0,23,0,-6.6,24,30
0,0,0,-6.8,25,31
0,1,0,-6.7,25,41
0,2,0,-6.7,26,37
0,3,0,-7.2,27,44
0,4,0,-7.3,27,62
0,5,0,-7.2,27,73
0,6,0,-7.2,28,76
0,7,1.06,-7.3,28,79
0.7317245,8,12.05,-7.2,29,81
2.433161,9,21.78,-6.3,27,86
2.02467425,10,29.85,-5.2,27,86
5.2925695,11,35.48,-3.9,28,87
3.36024875,12,37.83,-2.7,29,85
2.479338,13,36.45,-1.7,29,82
3.39221725,14,31.63,-1,30,67
3.90726625,15,24.12,-1.5,36,47
2.70311775,16,14.77,-1.3,39,17
0.301925,17,4.22,-1.9,44,0
0,18,0,-4,54,0
0,19,0,-5.2,61,0
0,20,0,-6.1,67,0
0,21,0,-6.9,71,0
0,22,0,-7.4,72,0
0,23,0,-7.4,72,0
0,0,0,-7.9,74,0
0,1,0,-8.3,75,0
0,2,0,-8.5,75,0
0,3,0,-8.7,74,0
0,4,0,-8.7,72,0
0,5,0,-8.6,69,0
0,6,0,-8.4,66,0
0.31258125,7,1.27,-8.2,64,0
3.14002125,8,12.28,-7.6,61,0
7.09346425,9,22.03,-3.8,49,0
10.254796,10,30.14,0,39,0
12.0130675,11,35.79,2.1,34,0
12.27592,12,38.16,3,32,13
10.8693045,13,36.78,3,33,13
8.1306655,14,31.93,2.6,34,38
4.4081065,15,24.39,1.8,38,50
2.010466,16,15.01,1.3,40,51
0.21667575,17,4.44,0.5,44,35
0,18,0,-1.1,50,1
0,19,0,-2.6,55,0
0,20,0,-3.8,61,0
0,21,0,-5,66,0
0,22,0,-5.3,68,16
0,23,0,-5,66,23
0,0,0,-5.1,67,51
0,1,0,-4.9,66,71
0,2,0,-4.9,65,65
0,3,0,-4.4,62,68
0,4,0,-4.6,63,61
0,5,0,-5.2,66,93
0,6,0,-4.8,64,100
0,7,1.48,-4.6,62,100
0.04617675,8,12.51,-4,59,100
0.60740225,9,22.29,-3.3,57,95
1.87903975,10,30.43,-2.9,57,95
3.55206025,11,36.11,-2.1,55,96
4.86987425,12,38.49,-1.4,54,88
7.324348,13,37.11,-0.8,53,95
7.71862675,14,32.23,-0.5,53,90
4.567949,15,24.66,-1.6,56,61
1.417272,16,15.25,-1.9,59,45
0.18115525,17,4.66,-2.6,64,64
0,18,0,-3.8,72,85
0,19,0,-4.4,77,89
0,20,0,-4.5,80,90
0,21,0,-4.6,81,93
0,22,0,-4.9,83,95
0,23,0,-5.1,81,99
0,0,0,-5.3,81,100
0,1,0,-5.4,81,98
0,2,0,-5.6,82,98
0,3,0,-6.4,83,94
0,4,0,-6.6,85,96
0,5,0,-6.7,85,100
0,6,0,-6.9,86,100
0,7,1.69,-6.9,85,100
0,8,12.75,-6.8,81,100
0.34454975,9,22.56,-6.3,78,100
0.50439225,10,30.73,-5.8,75,100
0.26285225,11,36.44,-5.1,71,100
0.4475595,12,38.83,-4.8,70,100
0.3729665,13,37.44,-4.2,67,100
0.04972875,14,32.53,-4,66,100
0.227332,15,24.94,-4.4,63,100
0,16,15.5,-4.4,62,100
0,17,4.88,-4.5,64,100
0,18,0,-5,67,100
0,19,0,-5.3,69,100
0,20,0,-5.4,71,100
0,21,0,-5.5,72,100
0,22,0,-5.6,74,100
0,23,0,-5.7,76,100
0,0,0,-5.9,78,100
0,1,0,-6,80,100
0,2,0,-6.2,81,100
0,3,0,-6.3,77,100
0,4,0,-6.6,80,100
0,5,0,-6.5,79,100
0,6,0,-6.7,81,100
0,7,1.91,-6.7,80,100
0,8,12.99,-6.7,80,100
0,9,22.83,-6.3,77,100
0,10,31.03,-5.8,75,100
0,11,36.77,-5.2,72,100
0.18470725,12,39.17,-4.8,71,100
0.1527385,13,37.77,-4.3,68,100
0.1562905,14,32.84,-3.4,64,100
0,15,25.21,-2.5,60,75
0,16,15.74,-2.7,62,98
0,17,5.1,-3.8,69,93
0,18,0,-4.9,75,66
0,19,0,-5.8,81,79
0,20,0,-6.2,83,64
0,21,0,-6.3,84,59
0,22,0,-6.7,86,52
0,23,0,-7.3,87,39
0,0,0,-8.2,88,12
0,1,0,-8.3,84,9
0,2,0,-8.4,77,0
0,3,0,-7.9,70,0
0,4,0,-7.8,60,0
0,5,0,-7.8,53,0
