P,H,HS,T,RH,CC
5.4226,8,9.44,-9.9,45,0
10.4016,9,17.77,-8.1,39,0
13.7806,10,24.15,-5.6,32,0
15.566,11,27.96,-3.4,28,0
15.8496,12,28.68,-1.6,25,0
14.6524,13,26.23,-0.3,23,0
11.9468,14,20.94,0.4,21,0
7.7922,15,13.42,0.5,23,0
2.6218,16,4.26,-0.1,25,0
0,17,0,-2,29,0
0,18,0,-3.5,32,0
0,19,0,-4.4,34,19
0,20,0,-4.9,37,23
0,21,0,-5.1,39,26
0,22,0,-5.3,41,28
0,23,0,-5.6,44,20
0,0,0,-5.8,46,1
0,1,0,-6,48,0
0,2,0,-6.2,50,0
0,3,0,-6.4,52,0
0,4,0,-6.6,54,0
0,5,0,-6.9,56,0
0,6,0,-7,57,0
0,7,-0.28,-7,58,0
5.15,8,9.43,-6.8,57,0
9.9686,9,17.79,-5.2,52,0
13.2998,10,24.19,-3.1,45,0
15.037,11,28.02,-1.1,39,0
15.2688,12,28.78,0.5,34,0
14.0586,13,26.34,1.8,31,0
11.4122,14,21.07,2.5,30,0
7.282,15,13.55,2.4,32,3
1.9602,16,4.4,1.8,35,25
0,17,0,-0.2,41,29
0,18,0,-1.7,47,29
0,19,0,-2.3,51,29
0,20,0,-2.4,54,30
0,21,0,-2.3,57,30
0,22,0,-2.3,60,29
0,23,0,-2.6,64,29
0,0,0,-2.8,67,28
0,1,0,-3.3,70,35
0,2,0,-3.3,71,38
0,3,0,-3.5,68,23
0,4,0,-3.8,69,2
0,5,0,-4,65,0
0,6,0,-3,52,0
0,7,-0.3,-1.8,41,0
4.976,8,9.44,-1.3,37,0
9.7968,9,17.81,0,34,0
13.2716,10,24.24,1.3,29,2
15.2882,11,28.1,2,22,0
15.71,12,28.88,2.2,20,1
14.582,13,26.46,2.2,19,3
11.8252,14,21.2,2.4,18,2
7.8274,15,13.68,2.9,19,0
2.7144,16,4.54,1.9,23,0
0,17,0,0,27,0
0,18,0,-1.3,30,0
0,19,0,-1.8,30,0
0,20,0,-2.2,29,0
0,21,0,-2.8,29,0
0,22,0,-3.4,29,0
0,23,0,-4,30,0
0,0,0,-4.4,31,0
0,1,0,-4.8,32,0
0,2,0,-5.2,33,0
0,3,0,-5.6,33,0
0,4,0,-5.8,34,0
0,5,0,-6.1,35,0
0,6,0,-6.3,35,0
0,7,-0.31,-6.4,36,0
5.2448,8,9.45,-6.4,36,0
10.0062,9,17.84,-4.4,33,0
13.228,10,24.3,-2.5,31,0
14.9152,11,28.18,-1.5,31,0
15.1892,12,28.98,-0.9,30,0
14.0838,13,26.59,-0.5,29,0
11.7348,14,21.33,-0.4,29,0
7.8204,15,13.83,-0.4,26,0
2.7978,16,4.68,-0.8,28,0
0,17,0,-1.9,34,0
0,18,0,-4.2,43,0
0,19,0,-5.6,52,0
0,20,0,-6.5,59,0
0,21,0,-6.9,64,0
0,22,0,-7.2,68,0
0,23,0,-7.4,71,0
0,0,0,-7.4,72,1
0,1,0,-7.5,72,28
0,2,0,-7.5,71,29
0,3,0,-7.4,69,30
0,4,0,-7.2,66,30
0,5,0,-7,63,30
0,6,0,-6.7,61,30
0,7,-0.32,-6.7,61,30
2.2272,8,9.46,-6.4,60,30
5.3514,9,17.88,-4.8,55,30
6.9462,10,24.36,-3,48,30
4.579,11,28.27,-1.4,41,31
3.92,12,29.1,-0.5,37,86
2.2774,13,26.72,-0.1,37,90
1.7232,14,21.48,-0.4,43,90
0.8112,15,13.97,-0.5,48,90
0.1558,16,4.83,-1.4,60,90
0,17,0,-2.2,70,93
0,18,0,-2.8,76,93
0,19,0,-3,79,92
0,20,0,-3,79,82
0,21,0,-3,79,51
0,22,0,-3.2,79,20
0,23,0,-3.8,80,2
0,0,0,-4.3,81,0
0,1,0,-4.7,82,0
0,2,0,-5,83,0
0,3,0,-5.4,82,0
0,4,0,-5.7,84,0
0,5,0,-6,86,0
0,6,0,-6.3,88,0
0,7,-0.32,-6.7,90,0
4.8902,8,9.48,-7,90,1
9.176,9,17.92,-5.3,83,2
10.6816,10,24.43,-3.5,74,83
13.2446,11,28.37,-2,68,74
13.6406,12,29.22,-0.7,61,44
13.0884,13,26.86,0.2,56,65
8.1928,14,21.62,1,53,65
4.4996,15,14.12,1,52,70
1.2816,16,4.98,0.8,52,65
0,17,0,-0.5,54,58
0,18,0,-1.3,54,22
0,19,0,-2.1,53,9
0,20,0,-2.7,53,6
0,21,0,-3.2,53,10
0,22,0,-3.4,51,0
0,23,0,-3.6,48,0
0,0,0,-3.9,46,0
0,1,0,-4.2,45,0
0,2,0,-4.7,44,0
0,3,0,-5.1,46,0
0,4,0,-5.5,46,0
0,5,0,-5.9,45,0
0,6,0,-6.3,45,0
0,7,-0.32,-6.5,44,0
5.4896,8,9.51,-6.5,43,0
