P,H,HS,T,RH,CC
0,1,0,23.6,82,0
0,2,0,23.1,86,0
0,3,0,22.7,87,0
0,4,-4.14,22.4,88,0
0.5105925,5,6.13,22.2,89,0
2.17112725,6,17.16,22.6,88,0
5.39451875,7,28.67,24.2,81,1
8.9908635,8,40.36,25.7,74,5
12.285295,9,52.07,27.1,67,13
14.65178,10,63.22,28.2,63,39
15.22897,11,72.26,29.1,60,49
10.2962065,12,74.54,29.6,58,49
13.3642,13,67.82,29.7,58,40
11.410629,14,57.31,29.8,57,38
10.0964085,15,45.76,28.4,65,9
6.30470525,16,33.98,28.5,66,11
2.6950395,17,22.33,27.9,70,7
0.71926925,18,11.04,26.9,76,1
0.0310795,19,0.38,25.9,82,1
0,20,0,24.8,87,0
0,21,0,24.2,90,5
0,22,0,23.8,91,25
0,23,0,23.5,92,26
0,0,0,23.1,94,24
0,1,0,22.7,95,2
0,2,0,22.4,96,1
0,3,0,22.2,96,0
0,4,-4.22,22,97,0
0.523912,5,6.05,21.8,97,1
2.069009,6,17.09,22.3,96,3
5.34567975,7,28.6,23.8,88,16
9.235061,8,40.28,25.3,78,18
12.391855,9,51.99,26.7,71,17
14.71394,10,63.14,28,66,29
16.13472,11,72.18,29.2,60,31
16.2057575,12,74.48,30.1,56,46
15.35329,13,67.8,30.8,53,56
13.417475,14,57.31,31.1,52,53
10.296207,15,45.76,30.6,54,1
6.52670175,16,33.99,30.5,54,3
2.67283975,17,22.33,30.3,54,6
0.57719125,18,11.04,29.7,57,3
0.0355195,19,0.37,28.7,63,9
0,20,0,27.4,68,28
0,21,0,26.6,71,10
0,22,0,25.8,74,5
0,23,0,25.1,77,11
0,0,0,24.6,78,25
0,1,0,24.2,80,5
0,2,0,23.9,82,4
0,3,0,23.4,86,20
0,4,0,23.2,87,19
0.4351135,5,5.98,23,89,12
2.317645,6,17.01,23.5,87,16
2.89927675,7,28.53,24.9,80,19
8.17835775,8,40.21,26.4,73,18
9.177342,9,51.92,27.6,68,30
10.45160325,10,63.06,28.5,64,29
13.6172775,11,72.09,29.4,59,38
10.06088825,12,74.41,30.5,54,41
12.7603675,13,67.77,31.1,52,27
11.912342,14,57.3,31.4,51,30
9.47481575,15,45.76,30.6,57,30
5.99834975,16,33.98,30.3,59,33
2.330965,17,22.32,29.6,63,28
0.70594925,18,11.03,28.7,68,34
0.00444,19,0.35,27.6,74,36
0,20,0,26.6,78,44
0,21,0,26.1,80,46
0,22,0,25.7,82,41
0,23,0,25.3,83,37
0,0,0,25.1,83,34
0,1,0,24.6,84,31
0,2,0,24.4,84,32
0,3,0,24.2,85,31
0,4,0,24,85,36
0.3729545,5,5.89,23.8,87,35
1.57173625,6,16.93,24.1,86,54
4.2223765,7,28.45,25.2,80,62
8.29379525,8,40.13,26.9,73,56
10.4693605,9,51.84,28.3,67,57
8.498033,10,62.98,29.9,61,47
9.18622175,11,72,31.3,57,41
9.0530245,12,74.34,32.1,54,35
9.741215,13,67.74,32.7,52,31
7.26817075,14,57.28,33.1,51,35
6.6776595,15,45.75,32.9,51,32
5.3323595,16,33.97,33.1,50,26
2.19776675,17,22.31,32.9,51,31
0.9679055,18,11.01,31.9,55,51
0.062159,19,0.32,31,60,33
0,20,0,29.9,63,34
0,21,0,28.9,66,29
0,22,0,28.3,68,21
0,23,0,27.7,70,10
0,0,0,27,71,0
0,1,0,26.4,72,0
0,2,0,25.9,74,0
0,3,0,25.3,78,0
0,4,0,24.7,81,1
0.612711,5,5.81,24.2,85,2
2.2998855,6,16.85,24.6,86,2
4.533172,7,28.37,26.9,74,4
8.39591375,8,40.05,28.6,65,11
10.784596,9,51.75,30.3,59,6
13.586195,10,62.89,31.8,54,2
14.62514,11,71.9,32.8,51,5
14.6251425,12,74.26,33.5,50,9
12.60053,13,67.7,34,49,18
9.941011,14,57.26,34.2,49,18
9.10630225,15,45.74,33.9,49,24
5.55879625,16,33.96,32.7,51,36
2.23772625,17,22.29,32.2,54,35
0.195357,18,10.99,31.7,58,19
0,19,0.29,30.7,64,14
0,20,0,29.6,68,20
0,21,0,28.8,70,12
0,22,0,28.1,72,1
0,23,0,27.5,73,2
0,0,0,26.9,75,0
0,1,0,26.3,77,0
0,2,0,25.8,79,0
0,3,0,25,86,0
0,4,0,24.7,85,2
0.47507275,5,5.72,24.5,85,3
2.148928,6,16.77,24.9,82,1
5.19916175,7,28.29,26.1,74,0
9.0086235,8,39.96,27.5,66,0
12.00114,9,51.67,28.6,61,0
14.4342225,10,62.79,29.5,58,0
15.8328025,11,71.8,30.2,56,0
16.14359775,12,74.17,30.5,56,2
13.76823375,13,67.65,30.7,55,8
10.922235,14,57.24,30.7,55,25
10.1807685,15,45.72,30.6,56,30
5.90511125,16,33.94,30.1,58,25
3.25003125,17,22.27,29.4,61,21
0.448433,18,10.96,28.3,67,11
0.0355195,19,0.26,26.9,73,20
0,20,0,25.6,79,30
0,21,0,24.8,83,30
0,22,0,24.3,85,31
0,23,0,23.9,86,29
0,0,0,23.7,87,30
0,1,0,23.6,88,30
0,2,0,23.5,89,30
0,3,0,23.5,90,28
0,4,0,23.4,92,25
0.18203725,5,5.63,23.2,94,25
2.34428475,6,16.68,23.7,92,20
5.29684025,7,28.2,25.2,83,21
7.63668525,8,39.88,26.6,73,11
11.6637055,9,51.58,28,66,24
7.0550535,10,62.7,29.4,61,57
7.254851,11,71.69,30.3,56,50
10.07864775,12,74.08,30.9,53,73
5.50107725,13,67.6,31.6,51,64
5.90511125,14,57.21,31.9,49,55
8.06291875,15,45.7,31.5,52,56
3.64962475,16,33.92,31.4,52,59
1.27426075,17,22.25,31.1,53,65
0.208677,18,10.93,30.6,56,74
0,19,0.22,29.6,62,71
0,20,0,28.6,66,57
0,21,0,28.1,68,45
0,22,0,27.6,70,52
0,23,0,27.4,70,68
0,0,0,27.3,68,78
